ulid,text
01K5JS7A1NQKSMAN20RS4DPQVB,"Tingting ng puso, taas no o"
01K5JS7A8VKSB4BY5Y4ACVV907,"Sabay-sabay, diwan ng palarong"
01K5JS7AGDMCY7C0XPJ823QX9B,"Laban ng may puso, palarong pang bansa"
01K5JS7ARFS6Q2EWK6GCJ2GBXG,Tayo'y magkaisa!
01K5JS7B09ESMRTM8KT3XXVDHG,"Isang bayan, isang layunin"
01K5JS7B7JNP3W0V5Q7H7A90FJ,Pangarap ay aabutin!
01K5JS7BGP105HXRNHG1SP4A24,Wala akong agenda. Wala akong dinagdag na baski isang post-it sa bahay ko. Wala akong bakong kutse. Hindi ako nakatikim ng Mercedes Benz. Dinibdip ko talaga ang trabaho ko para sa bayan ko.
01K5JS7C07E84F9JG4978MHP6C,"Kaya dahil dyan, napatunayan mo"
01K5JS7CA6AJTX0SXGTJVSHSC1,dessert mo pag i-talasin.
01K5JS7CJXX34HQVQ1QQQ1CHKF,"Diminsan,"
01K5JS7CW008BQEXQDEA6HVNAR,di mo kapinabaya
01K5JS7D4S7VQJV381YBQT30S1,"diminsan, di mo kapinabaya"
01K5JS7DDK1JS78CQZFZDMEK83,nung nawalad ako ng dahilan
01K5JS7DPXCGK0MFQCJ3QDM4HS,hindihan mo ako ng raso
01K5JS7E022R66WQ77MCA413C2,"nung nadaba, inaon"
01K5JS7E982QSEBBGKTHSW3JF6,"nung lumubok, inaon"
01K5JS7EJ73F9J3J8DQX3CSWND,marami sa atin naging hamon
01K5JS7EV3K3VFZ51AT48JVXDD,pero inayang natin lahat ng yun
01K5JS7F48QXFM1BVNW7Q7VD67,"salamat sa'yo, Lady Kasol"
01K5JS7FDFY2QX4ECC339984MF,eto na tayo ngayon
01K5JS7FP783QX3TW907VJ1R6G,kung nandito lang sinano mo
01K5JS7FZD1KT70Y19XSBM1JBG,sigurad ko sa prokseko
01K5JS7G8J6N09KVDKQ992YSXX,"pero, ma"
01K5JS7GHTZ415A3DD0DRAZHRF,magkuwain magkalila
01K5JS7GTPJKZ4CZ4XG69Y2123,nasa mabuting kamesya
01K5JS7H3FB80NKZ1HV4R432JX,"yung kutikalihan mo, Prinsesa"
01K5JS7HCM8P56R1P3FENSWDWF,"inong araw, gagawin ko rin na"
01K5JS7HNVF0C0NJQ2XT4MPES1,sa samakan sa hirap at hinhawa
01K5JS7HYQ3BAYGF770M96995F,sa lukot at higaya
01K5JS7J7M4BWYSCY27XS8JZV3,walang ikaw
01K5JS7JGHNYZCH7MHJ387JCVQ,"walang di ba, kasi ikaw lang"
01K5JS7JSR8EG45CWJYSCGPY64,ngayong sa ligumpad higaya
01K5JS7K3M00ZM3KS24SPNDCTY,"Oh lahat yun, napanalo ko"
01K5JS7KADRNRXX043AFJJJ2RM,"Ay, ano ulit ka? Lahat na?"
01K5JS7KGRX85YPB48KMC95681,Lahat yung kaso na yun?
01K5JS7KPTFJC10Z9S3Q5ZCX1W,Napanalo ko lahat yun
01K5JS7KWXNES9SKNFF95QT6S1,Parang hindi ako naniwala
01K5JS7M3SHSGBQGNS1Q9GTP12,Everybody wants to be my enemy
01K5JS7MDJFMAZ4HFAD14C3T7Q,"Me, me, me, me"
01K5JS7MPXPRQH0FJGXVR5KZKS,My enemy
01K5JS7MZBF048HZRCW71T5PEM,Look out for yourself
01K5JS7N8JSAD3X35YH4CNBDGN,Your words up on the wall
01K5JS7NGXT0WJR2Q22TSPE5BP,And the laughter in the holes
01K5JS7NSDEQ2W171TRJBN3SA8,And the names that I've been called
01K5JS7P1TGJTJT1G4CRZJZ9GK,And I'm waiting for the time
01K5JS7PA7103N1ECEQJ8P1DYG,To be worse but in the mind
01K5JS7PJSS48Z4V99H0A0WDJX,Tell you you're the greatest
01K5JS7PX5PWN3SK2285Z3X5B2,But once you turn they hate us
01K5JS7Q7M7JDRN7Y1QP0H0SK0,Oh the misery
01K5JS7QG76S8PDVCCGC8TY7JG,Spare the sympathy
01K5JS7QS8WP0TG87MP205EKK3,Natataya ko eh.
01K5JS7R0V49P41WSSDXBR05T3,"Hindi, nadumi na, nadumi."
01K5JS7R8WE5NY1W6MFX8EPDB5,Nadumi sa?
01K5JS7RGPRP0KDVXJHHZ1BYDE,Sa shirt.
01K5JS7RRF31H46YEXS4KKQJ0E,Kapatid ko pinabayaan ako.
01K5JS7S03R78ZP988NWQ6AXB5,Pinabayaan na?
01K5JS7S80MJS754VMBVZH3YCA,"Ganito, yung situasyon ko ganito."
01K5JS7SG3YDH9FFFQGZWR4WDX,Kaya't yung papa ko ganun.
01K5JS7SQZQEFHEWS3YPHH3MR9,Nung may pera ako ganun.
01K5JS7SZYS1VZAQD7X952WXH0,Mabibili sa lang kumilo.
01K5JS7T794GDNS666FMYK7ZRX,Pinabaya na yung bayan na eh.
01K5JS7TEVNX2HEA9CC6WKWH8V,Hindi ko na makira siyong katawan ko eh.
01K5JS7TQEB3AMCJJ1XPH8MQTT,"Kap, patay ka na ba?"
01K5JS7V04A9AEH6H4T59CPBE4,"Yun oh, may isa pa ang ulon."
01K5JS7V8V5XMG0A91K18RBH7Q,"Tanga, bobo."
01K5JS7VH2FNVV7WPM7G1FCY3E,"Kung patay ako, bakit nakakakapang live ako?"
01K5JS7VSN19XVG9CNHK2BPGE5,Bakit ako nakakapang salita?
01K5JS7W1WFWHVFQK07TYCYJR2,Bakit kung nababasa ang comment mo?
01K5JS7WAJ2ED6F776GY056VZ9,Pasabihin mo bakit kung patay na ako?
01K5JS7WK67VSREPGZB39CTF6Y,Tanga!
01K5JS7WVYD6VC04ZCVJ04V5H3,Bakit ako napatay?
01K5JS7X44D9MWD8V845K4D31E,Hindi kita patutulogin!
01K5JS7XCD342Q5TS7SQ3KW3FA,"Hihilain kita sa empire, no?"
01K5JS7XMSA27XEBVSJVBJ0ZV3,Kung patay na ba?
01K5JS7XX6S04TY4EDMF5BH11X,Kung patay na ako?
01K5JS7Y5X2MHP1T8VN2TX89AA,Bakit? Nagbigay ka na ba ng abully mo sa akin?
01K5JS7YE7KDE46P3PMNT4DGS3,Hmm?
01K5JS7YPWGRERXSHHQ490AD1H,Kung makasanong ka kung patay na ako?
01K5JS7YZMNJHFHCH1TE8H2720,Nakikita mo na ka lang ito?
01K5JS7Z88NSH97D45ZETHQA0J,Nakikita mo nagsasalita ko?
01K5JS7ZGZM5E04BW1QFVGKEBE,Ang tanong mo dyan
01K5JS7ZSH40CC2D2CVZJNH1F8,kung patay na ako?
01K5JS801V20PSRJ376SZPAG0P,Kung di ka matanga?
01K5JS80AHHYNG3DV0YV6CANKA,Ang tanong mo dyan?
01K5JS80K560SBV11E0J0AE8G0,"Pinapairan mo kabubuhan mo, boi!"
01K5JS80VRMPS64MV98AWZ02YG,Pinapairan mo kamangmangan mo!
01K5JS814KNEG968VYRA2KPBHX,"Saan ka makakakita sa halagang 100 plus pesos mo pare,"
01K5JS81C678PFN3P1BSPMZAKD,ay meron ka ng napakasulid na cap na to.
01K5JS81KABPQ78P8R78RH7VW8,"And ang ganda pa ng design ng angas nya oh,"
01K5JS81TDNFEDB18W152ZV9K1,"tapos naka free shipping siya ngayon, ayan."
01K5JS821D83MB4HS7HRKGND3W,"Totoo yung sinasabi ko, or tama yung narinig nyo,"
01K5JS8282D32D4T4B9311E0S1,naka free shipping po siya ngayon.
01K5JS82EM7ZS5GNBHYWF3QXVA,"Ayan, naka-embroid yung kanyang tahi sa gilid,"
01K5JS82NKZBVCKNFMNKQYV871,"adjustable din yan, kaya kung malaki or malait yung olo."
01K5JS82WPHZ7MX48BG6A597JZ,"I carry pa rin pare, so ayan."
01K5JS836PQGWW1XK0FJMG7YGJ,taste
01K5JS83KD6T69VNP3KVZBKDYH,Paano ko nalaman?
01K5JS83TE891A8QYZED08PPM4,Kasi magkasing amuy kayong dalawa!
01K5JS842SQ2V990KP3QDQE4Y9,Like a guy when you see a guy with a fucking nice clean truck
01K5JS84AKYKXNW0C3CNWNJDAF,And he looks fucking good and then a guy go
01K5JS84J0QF77F7PCWDZAC177,And at first the cunts go he don't do any fucking work
01K5JS84SARZ6VXREJZKPA1GYX,Works his fucking ass off any fucking shines his truck
01K5JS850ZRBT1S8ZVV9G98RS2,"Medyo may kamahalan, alam mo kadalasan"
01K5JS85A0YAPKY13S7Q0FGD6A,"Yung mga galawang kuminsan, di na nila malaman"
01K5JS85JJSK07HJZDQXPF9R83,"Lagi na lang nila tinututukan, ganun ako kaya bang"
01K5JS85VG55H8GCC9S64R9VXS,"Di nantuloy nila natutunugan, ganun ako kaya man"
01K5JS8643B3F4XDGGCW9B8NK4,Pero hindi pa rin nakakalimut
01K5JS86C78023FCEWMFG4F9H8,"Kahit mundo isang ngayon na lagit, kahit ng malibut"
01K5JS86N1ETZY0D339MDZQN9S,Naririnig mo pa rin kahit mga bunga namin nakatikom
01K5JS86Y3DJFJCNQ0Y1H6Q360,Kami yung reason yung musika dito napunta sa e-comm
01K5JS876T5MN2CQF5538VHTTA,"Kaya sulitin yung mga ihot, hapa na ego di pwede rito"
01K5JS87FGZ41964C9ZVHXZH74,"Puro pa ego, puro pa ego at nakakahilo"
01K5JS87QS978N1QWYDQJS362P,"Una pa vida pati pag-ibo, una pa libo gaysa sa libo"
01K5JS880NV62G0CBQTSXAJKKJ,"Una pa evas gaysa kumilos, una yung diga gaysa recibo"
01K5JS889NV2YD1YAK67E40SCH,Gaysa sumi pa nakakasiko
01K5JS88HKSBSNWVSN4RF7Q512,"Sige kami na mga gagito, lagi naman kami bago dito"
01K5JS88TJK5EN5KDCGYX6ZGQM,"Di lang kami basta paborito, mga unod na nakataliso"
01K5JS8932HXYS2G7FKE527BNY,"Pero malabo na maubusan, alam mo marami na naipon"
01K5JS89BY1RANK5EX7JR9C643,"Kahit na marami nilulusaw, marami pa rin nyan naliligom"
01K5JS89N5F4SDM70S4CHG0G62,Kaya sulitin yung musika dito napunta sa e-comm
01K5JS89X82QX75NXQC0MHE2B4,And actin' like a dark horse
01K5JS8A69ZD829XYR60RE4BYY,"Are you ready for, ready for"
01K5JS8AF28M0DRGAWQPTACPG5,"A perfect storm, a perfect storm"
01K5JS8AQB54D2AZNR8WMM3PXD,"Cause what's your mind, what's your mind"
01K5JS8B0073BWZ2RT4RA8TRRG,Hey! Hey! Hey! Hey! Hey! Hey!
01K5JS8B8D9HJN3PSGX7K69V78,There's no goin' back
01K5JS8BGK5JDF4RT8ZVVY47F2,Mark my words
01K5JS8BRK098KPBXBBFAY6002,This love will make you levitate
01K5JS8C18WVQ4R314C4XNK2PD,Like a bird
01K5JS8C9RVHP3664J9SGE4P4J,Like a bird without a cage
01K5JS8CJJP2G9EM050X5NCNHT,But don't you ever
01K5JS8CTPJA9VXGB9F24WDB30,If you choose to walk away
01K5JS8D2XW7KF3FGYZRYM88ZX,Don't walk away
01K5JS8DBR539JPZ3JM4VB2WCX,It's in the palm of your hand now baby
01K5JS8DNR89JEHZ0Y4K1R1ZER,"It's a yes or a no, no maybe"
01K5JS8DZ7MMKF1QS6AGWTMSJW,So just be sure
01K5JS8E7S8A9BRP8GR40XPGCQ,Before you give it all to me
01K5JS8EG9P4JA5ZWFF81P7NSY,All to me
01K5JS8ERZ2KEY5H4DPZ4WX8HD,Give it all to me
01K5JS8F18ZY4E1EPMVQPG0ZCV,So you wanna play with magic
01K5JS8FAQEM7Y5MNFVJ02Z1XQ,Boy you should know what you're fallin' for
01K5JS8FKX85HF3Z3050T0QM6G,"Anak ka ng I invited President Obama, the Secretary of State, the United Nations, the Human Rights Commission and the EU."
01K5JS8G01Z34DJBWABJ1BCD09,"Come here, investigate me."
01K5JS8G8JVAWQQV397654S2TB,Paiputing ko kayo dito ng kamay ko and I'll play with you.
01K5JS8GJJXNSMXCQWRP6Y7ZMQ,"I am very sure, very sure they cannot be brighter than me."
01K5JS8GWH6APR2DERNDSXDR2F,Maniwala kayo.
01K5JS8H4MYYCMVZ2XAH3Z0Z3T,I will play with you in public.
01K5JS8HDJN1G3MH13A0CVXH4F,I will ask five questions that will humiliate you.
01K5JS8HPR51A3D6TVD7EW35VT,And I will ask ten questions for you to agree with me.
01K5JS8J0886Z3MR8V6ZXFANCJ,"Bantayanin yan, it will be an expectagor."
01K5JS8J8WPB7MJQF074T8MDSD,You better watch it all. Maganda yan.
01K5JS8JJ7K37KR60047G90RAM,It will give you an entertainment.
01K5JS8JV6XX6BMYKV43RD1BMS,"Akala siguro ng mga buang kasi, ang Pilipinas, small nation."
01K5JS8K55D50BT0DQ8Z1RY7PJ,"Well, maybe God will give you the money, but we hit the place."
01K5JS8KG9RFJQ6X69NDCS589Z,Ako isip!
01K5JS8KQEMYM7CTCRGCPPTCSN,"Ay, babis ko namin!"
01K5JS8KYB0WZ05E8348SGWFMX,"Ano, kiyap ko?"
01K5JS8M57WPCBRZB60TXCB43W,"Pah, ingat naman!"
01K5JS8MCBQ66JPPMAAJER2M3D,Ingat naman!
01K5JS8MKANDM5ZXFAY4FVQMQJ,"Eto na, ina!"
01K5JS8MTDXFP3ECC1183KRXXG,Paaaar! Love youuu!
01K5JS8N1HTDPV76BCMP51VDNR,Who got the power?
01K5JS8NJFNWEW4V7EDP069HYA,Kailin Alcantara
01K5JS8NTN8C4Y4EY5PN1SAV0D,Ang ina mo Kim Domingo
01K5JS8P2P8H6AF0W0FDMFN0P7,"Kailin, huli ko ta ka"
01K5JS8PABFQ5QYX1XSKH4NEAF,Bea Alonso puto pa niya?
01K5JS8PJSFSAW0PEE913WP8F8,"Reptisip, gotta reptisip, chase a chick, never chase a bitch, mask on, fuck it mask on, mask on, fuck it mask on"
01K5JS8PWSXMADRT9FWXHEA146,"Mami, sugot ka? Ikaw si Darna, pero lansang numero 5 ay mong tonlon."
01K5JS8Q6SN6G2MWJXE1EQSWBZ,Sugoon ko nimo o nanugo ka?
01K5JS8QEGR7W1XT3WBSNF5SQV,Wali mo alang alang alang alang alang...
01K5JS8QP9J04R6154VP35N5FW,Outro Music
01K5JS8R1P4XT0Y0SKWW8ZVYGC,"Bet, taba mo naman ngayon."
01K5JS8R895SERD61T3K92RTY9,"Ikaw nga ang pakit mo, minarinika ba sakin?"
01K5JS8RF2XT61K8F8VZ7VKAJP,Bobo.
01K5JS8RR740TJEK9RSQ9EXGSD,"Uy sa may pupunta, dead edge yan, wala kang tatahanan jan"
01K5JS8RZQPK2BPVFD9PE7C89P,"I'm a blur, pag napadaan mga chicks dito sa hood"
01K5JS8S72BPJCTVB7ZNPGZ808,"I'm a blur, nakayaan mag smoke, may dalang silang shook"
01K5JS8SENKRCGNF30ANFH7QJW,Love at first sight
01K5JS8SNBDVZA9BWBYEWE9NF6,"[""Age of Warfare""]"
01K5JS8SZTKA3PRXQC2JZXEXYZ,I know that you're on for me
01K5JS8T95A4PJJKF11942TQ23,Gonna wish we never met on the day I leave
01K5JS8TJPR2W9356JPNA1CHKY,I'll watch you down to your knees
01K5JS8TW6WXNMJZR8KENEVX61,The least hated misery loves company
01K5JS8V5Y17K46CG2DJZXW5XA,It's not your fault I ruin everything
01K5JS8VFDWDWJFKG0EXS6VB55,And it's not your fault I can't be what you need
01K5JS8VRK1J9R80SJVBAX84VG,Angels like you can't fly down here with me
01K5JS8W2956VM45A7MBJ32ZJP,It's not your fault I ruined everything
01K5JS8WCQ8TJ9BT2TK7M10S1N,"Mr. President, we love you."
01K5JS8WMKS40MTQ4XMZEDSVXQ,Sige kong...
01K5JS8WVDXCY5ZY35ZGFTCDXQ,...inong pagbogin lang yung kulis ng...
01K5JS8X1VEJ5ZCWYVKYE2EB41,...tapabaho lang.
01K5JS8X922282TGT64G4J3Q58,Ikaw ay aking tatapatin kasi di ko tatanggapin kung ikaw ang maging next na looney.
01K5JS8XH2AF7GYTK61CVS6N4H,Pero kung ako tatanungin mukhang puwede na ring next na looney.
01K5JS8XRE8X3SWY62K6AZE12B,Pakit text mag-ready!
01K5JS8Y0FKR2QRH5QH26T7CME,"Mama, bakit puso ka niya pala buksakan ko pa ang siti lang?"
01K5JS8Z7JW63A38ES18P96F51,"Eh kasi, magbubuway-buway Reina dito eh. Ampun lang naman."
01K5JS90HYD38CDVYR49AF1TP8,"Kaya nga, tina mo nga. Pagatas-gatas ang iyong pamangkain ko pa kapi-kapi lang."
01K5JS91QAQW2KDHJX6K6RB3HG,Ikaw pagatas-gatas ka pa.
01K5JS92WEDJACDZ72AZ2KZA9G,"Ay, good morning!"
01K5JS94168XNANSWMKCPA5GG2,"Hello, Pony ate."
01K5JS9569EQGMVXEFCBNV4DPM,"Anak, anong sinabito yan ang pagkain na tag-bubusin mo yan, ha?"
01K5JS96ARY5ZNXJWJ49V2CHSE,Talagang kinaluto ko yan para sa'yo kasi alergik ka sa baboy.
01K5JS97GH9WKZ9MRGMTJD4VMJ,Isarap ba yung pancit?
01K5JS98NDGSSVW56T9EGDJ3HC,At maluto talaga ako ng palabok sa'no kasi hindi ako makain ng baboy.
01K5JS99TSQZ9T1KG1K7A55N12,"Oh, ano? See ya. Masarap ba?"
01K5JS9AZPFN42X942SC774CMJ,"Papasak na ako sa work. Ikaw naman ng bahala sa anak ko, ha?"
01K5JS9C4TS615SVG086A76KA3,"Sige, ate. Kami na pang-wala dyan."
01K5JS9D9CEQXCQMPVMGRGHB1C,"Maka mamaya kasi manito ako lang pag-uwi kasi bakit ma-overtime ako, okay?"
01K5JS9ED3C9EXH6WKQHD4G4JN,"Sige, ate. Ingat ka."
01K5JS9FHW9BSN23GCG6W7SRJQ,"Ay, nako. Spoiled talaga."
01K5JS9GPWA3123A96P9KT9V7Y,Samanta lang yung pamangkinto.
01K5JS9HVPZNB1Q5ZZXCXNPMX9,"Pancit, ikaw nakapalabok pa."
01K5JS9K0W1D1VY9B441YTF3KH,Hindi lang po talaga ako kang makain ng baboy.
01K5JS9M5HE9MH7B21ZZV9AJAN,May allergy ko kasi ako.
01K5JS9N9H17ZNNCXG1XM2HSWE,"Allergy? Allergy, allergy ka pa?"
01K5JS9PENHJJ4TWWQ7TMED8Q1,Hindi ka naman nakakakain ng mga ganyang pagkain.
01K5JS9QKB24MP9BH2A07R682X,"Mahirap ka lang, abung ka lang, diba?"
01K5JS9RRF4RQCFFHXE55ZY715,"Sabihin mo, nag-i-inartik ka lang."
01K5JS9SXES81T25FCERXAZJW3,"Akin na kayan, siya."
01K5JS9V2M6JTVANZK5MN0BQFK,Akin na kayan. Dito yung sa anak ko.
01K5JS9W6H8APD90BH4D7V7RAA,Si Artie mo.
01K5JS9XBAXZHPXHKFZH7G9XT7,"Kuya, ampun, ito pa."
01K5JS9YGGP6CVSFFNNGM4BJWB,"Gay, papa galitan ka lang. Papa aluin ka, be."
01K5JS9ZN22WNG8F6XQNGYD4KS,"Pangit mga, pangit ang buk mo. Inalim mo."
01K5JSA0T2GYTYZB70T7RE5EC3,"Tama na! Tinegan ka na, ma!"
01K5JSA1Z09ZB24WTJ6BANXE7C,Ba't mo ako sinisigaw na? Kasalanan mo naman yun.
01K5JSA34AG9KW2ZNKM1MPH655,"Ipaw, ito ba't mo binagsakyan?"
01K5JSA490XZW1CY00YHQCA4T6,Nakita mo naman nagilinis ako dito.
01K5JSA5DWBZ158XG8WJPA5QC9,"Kasalanan mo yun, susubukit ako."
01K5JSA6JHXENJJMK3YFJNHYAS,Bibigit ka na!
01K5JSA7PS3MRSYB82HJBTHER8,"Mama, yung ampun dito!"
01K5JSA8VWZZPRAMM51STJRD8C,Ano yung iyan dito?
01K5JSAA0090N3MECEZMTF8JYP,Isan naman po yun. Hindi naman ako.
01K5JSAB4FZMG0T3Q64TT8Y47N,"Ibinot na yung baso, inabilinis naman ako."
01K5JSAC8V2XRW3VHJ1R3ADAGW,At talagang sumasagot ka pa? Ha?
01K5JSADDG8FJ2RC78A8WAET74,Ikaw? Ikaw na po ang anak ko?
01K5JSAEJ4247M6YN2H2MMDR88,Wala naman po ang ang nagawasan.
01K5JSAFPNA4G2BG764J740DPV,Ano kaya ang ang angusahan ako?
01K5JSAGTQDYHTAATZ1ZGYC6JY,At kung maaawin mo ang anak ko? Ha?
01K5JSAHZM45JWNPHKNNSF8HFJ,Wala po.
01K5JSAK45DXYVN656C5PVS66Y,Bakit hindi nagini mo ang anak ko? Ha?
01K5JSAM8XJ76MPC40ZGFMAWZB,Ano kaya ang ang ampun dito?
01K5JSANDRE8E9Q3VGFGCBM81D,Ano naman po ang ang nagawasan?
01K5JSAPJS77MZAZR691BG8A6F,Ito? Saasagot ka pa sa akin?
01K5JSAQPQ92PYEQ7HCD803QZ6,Binaat ba mingin? Ha?
01K5JSARV5K70HNWT0QM354A6T,Gustong sabalok kita? Ha?
01K5JSAT0KMD68SF96B26TSXMP,Huwag kang halaban-laban sa akin dahil ampun ka lang ha?
01K5JSAV5CGNXSFMWZ3TJQS9P6,Ano naman po yun.
01K5JSAWADSA4FG18HD9NGN0PT,Maasagot ka pa?
01K5JSAXEWR4PJT1TBER4NMST5,Ikaw sumukan mo magsumbog sa kuya ko.
01K5JSAYKFKWCEKZDR1G0MGNBM,"At sa narin mo,"
01K5JSAZR1K32DH978HPYNW5KS,ang mga na ang mga na ang mga ngayon.
01K5JSB0WGK8B410ZVNKXRA4ZP,Wala naman po ang nangagawa sa iyo.
01K5JSB216JD2JKVRFEVJ1DXMV,Wala na ang sumakas!
01K5JSB363K07QAMRKN92DK1NV,Da da da da da da da.
01K5JSB4ADBEQ0PMZ8Q2WQ6DA5,Tuwag ka ka? Ha?
01K5JSB5F69B64JV0T7FQVFGA5,Ang nagigingin ako sa iyo.
01K5JSB6KW1AGK0Y79KJSHKEQY,Bukhang mo na magawa ka sa iyo.
01K5JSB7RQ2A59263Y7E2H6DQ5,Ano mo si Charco?
01K5JSB8WK5QV7AWSW7XX40V5B,"Oh, paagising pa eh?"
01K5JSBA18MC0YBTRE2NZ1N3NT,"Uh, kuya."
01K5JSBB5SA1GMYR5N705CYCGZ,Ginabi ka na ata ng kuya.
01K5JSBCATD2QXV8DFRJYS9FXG,Kaya nga eh.
01K5JSBDFJJ4G5DJX6M1WYE30C,"E, marami kasi ako tinapos ang trabaho."
01K5JSBEM97J1W67MGMYW9G8XW,"Isa pa, inunan ko muna ang school ng anak ko."
01K5JSBFRK87JX5R4N5H8D6EAM,Alam niyo naman na sa private ko
01K5JSBGWHKWY8AF8ESKQN637Q,in-enroll yan.
01K5JSBJ0ZX0SCH9WSNPY51JAF,"Kuya, bakit naman private?"
01K5JSBK5CX8KHHJZHZTT9AE4B,Dapat public nalang kasi ampun naman yun eh.
01K5JSBM8H58SYJ1RBAZVQ8RPX,Nandiyan si Ano.
01K5JSBNDV727MSCYTBYFS9BFR,Si paano naman si Siya?
01K5JSBPJX2KD4VR0EEJ1YWWNW,Pabihira ka naman oh.
01K5JSBQQEXD5XD3KVBGWE76CG,Bukan parinig sana.
01K5JSBRVY1K4FS4ANVYMG0022,"Naman, may marinig ka eh."
01K5JSBT0QTSGHPE2CXDTFXHNV,"Kuya, point ko kasi."
01K5JSBV79KZT1TP4KMFA35C2T,Kadugawa mo kasi si Siya.
01K5JSBWHXVJY77210GFMZ92VG,Sana siya yung sinusuporan mo
01K5JSBXW2F3WGQN5S1HFB41JS,kaysa doon sa anak mo.
01K5JSBZ58BKSN9QPEFBTBBFJA,Tegalang cha. Kailang bago gulang sa inyo?
01K5JSC0DTQ9GKRW3BRY19B4QV,Ha? Binibigyan ko ng pangailangan ni Siya.
01K5JSC1QTKD56FG7ZH7Q8FNCC,"Uy, naman pagsilosan yung anak ko."
01K5JSC31169XK9CJRA6F1VDPY,"Alam niyo naman na, gusto ko magkaanak eh."
01K5JSC4AAA3CSAXSRBAEEPSKS,Kami ng asawa ko.
01K5JSC5KCDEXYPZX0KR5HDSJR,"Kaya diba, matulog na lang kayo."
01K5JSC6WBT96SWN00F49A3Z4T,Parami pa akong tatapusin.
01K5JSC85E4YJ1BWTMEHTTP341,Ayoko nang mariring sa inyo na
01K5JSC9ETQKKSN37HR7GGGKVV,siya sabihin yung ampun yung anak ko ah.
01K5JSCAQRBGTFC5CK3M7P3FRN,Anak ang ganda naman ang bag mo oh.
01K5JSCC0NW8MK1DR67XKN0EBX,Ang daming balsa.
01K5JSCD9B5AWH6ZH8QC51Q8XS,Ang pangit po na.
01K5JSCEJRG1EZ74KS09V9A4P7,Niayaw ko po yung paparais ko yung kakasi ko.
01K5JSCFVACMC0ZB0TRQT83AZ5,Gusto ko po yung porpon.
01K5JSCH4FE6G12TTZ7EGCRM3N,"Oo nga ate, kanin mo naman oh."
01K5JSCJCVY292D69EDKQRSB2X,Kanin mo babae yung anak mo tapos
01K5JSCKPC2615VJYTRB914RS1,kulay-bluy yung kulay ng bag?
01K5JSCMZFHRN19J2H36VMDK2P,"E, anak ko lang kasi pa'ng bilipas ni Mommy."
01K5JSCP8CQ7MZ4C1QB9PZAEZ0,Bakit hindi po ka nagkatabaho?
01K5JSCQGVKTWHZTRZCDMZ0GSZ,"E, naandiyan naman si Kuya eh."
01K5JSCRST5A6ENHNHYS7YPZQV,May di naman tayong buhay ni Kuya.
01K5JSCT253JTNW3N06TVHQV06,Bigay lang po to ng mayor eh.
01K5JSCVB80VKJFV1KKQS5A3HC,"Hayaan mo na, pagdating ni Tito mo"
01K5JSCWKNY29DZM8T026BM78M,o sabihin ko ibilik ka ng bago.
01K5JSCXWQNBNTB2AHW123ETAW,"Ano lang, anong yung naririg parang ang miiyak si siya?"
01K5JSCZ5KW06Z2CQXD53P1NPH,Anak!
01K5JSD0EKSJFM0GXNB4CHA7QW,Ano'y ka dito?
01K5JSD1Q4W6FSYGXY9TGGPGNJ,"Ate, dito ka."
01K5JSD306Y8188DTFWTBTEGYZ,"Anak, diba binunol ka na ng daddy mo sa school?"
01K5JSD48WX6AX0GNYVHECTXR9,Pino lang kita ng favorite mo color na bag.
01K5JSD5JGZN7ADTD2Z1W0DDPC,"Ang favorite mo ito, Kuya."
01K5JSD6V6VT3DX8WCC9EDJHEF,"Ano lang po, ang po naman po yan eh."
01K5JSD83YQQ5ATC7FEAXYHHFN,"Sige, ano ba? Bakit niya sasatangin ganyan?"
01K5JSD9D2R62MXACY2YK7MN6T,Ang po naman po talaga yan eh.
01K5JSDAP3MVT6Z3VDGHGNM45E,Favorite po yung support mo ito.
01K5JSDBYXZR66Y873TRYXESZC,"Siya, siya. Siya kay Jake di yan."
01K5JSDD8D2847W6VZ3CW452ZN,"Ate, ano pa?"
01K5JSDEGSD58VT87QX2P9KY9X,"Sige, sabihin mo kaya anak mo, ano ba yan?"
01K5JSDFT1DDZGHZ4V680ACT1A,Bakit ginawa niya ibang mukha sa anak ko na ang po'n to?
01K5JSDH2S6KMH2P47XKR49M7R,"Hindi tama yun, ha?"
01K5JSDJC0GSVG6W8ET11H5NBA,Huwag mo sinasabihan ang ganyan ng ate Jake mo.
01K5JSDKMGE6JMMADR4Y8GDZWG,Ang po lang naman po yan eh.
01K5JSDMXBJQNRA9RNDWEDWY9B,Tatoon naman ah.
01K5JSDP623V03J6CN4RKKSSEW,Dapat niya si Siya yung nakikinabang ng mga pera ni Kuya eh.
01K5JSDQFPG4RFTP61J08BA7DA,Kasi siya yung kadugo niya.
01K5JSDRS5B1H3Y23S0RRXZ1VB,Pino naman na kung pagdungang pamangkin ko.
01K5JSDT20Y4ESF91MFJ27RQ4F,Samanta lang yung anak nyo.
01K5JSDVARX6NSV3MEKA58PE6P,Ang ganda-ganda original pa.
01K5JSDWM1KJ83F2FPY65RXG1V,Teta nga lang.
01K5JSDXWZT4HKYH2B2YJYDCNP,Ano naman nasabi niya pera ng Kuya niyo?
01K5JSDZ5Z8TPXTC3QEEWXXJ7M,Kaya kong ibigay lahat na pangaila ang anak ang ako.
01K5JSE0FG193K6SVAT9VJ47E0,Para nag-ibigay mo yung pangailangan ng anak mo.
